City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,25.01,89,99,11.31,PN,1707675265
1,okha,53.5739,142.9478,-24.72,100,97,1.81,RU,1707675389
2,ponta delgada,37.7333,-25.6667,18.44,88,20,7.2,PT,1707675389
3,blackmans bay,-43.0167,147.3167,14.29,89,100,1.36,AU,1707675389
4,ushuaia,-54.8,-68.3,8.81,76,100,11.32,AR,1707675126
5,tateyama,34.9833,139.8667,5.61,81,32,5.77,JP,1707675389
6,tiksi,71.6872,128.8694,-34.4,100,100,1.28,RU,1707675389
7,klyuchi,52.2667,79.1667,-12.74,86,58,5.67,RU,1707675278
8,alamosa,37.4695,-105.87,-5.01,63,0,1.54,US,1707675389
9,greymouth,-42.4667,171.2,8.53,90,69,2.26,NZ,1707675389
10,amga,60.8953,131.9608,-37.17,100,87,1.25,RU,1707675389
11,hamilton,39.1834,-84.5333,9.4,68,0,2.57,US,1707675137
12,trevelin,-43.0858,-71.4639,18.71,42,100,5.62,AR,1707675390
13,sola,-13.8833,167.55,27.88,74,17,7.05,VU,1707675390
14,emerald,-23.5333,148.1667,22.97,79,44,3.59,AU,1707675390
15,puerto natales,-51.7236,-72.4875,13.25,41,75,7.2,CL,1707675390
16,igbor,7.4527,8.6098,34.11,13,1,0.95,NG,1707675390
17,flekkefjord,58.2971,6.6607,-1.52,80,100,11.18,NO,1707675390
18,port alfred,-33.5906,26.891,22.32,74,23,2.68,ZA,1707675390
19,edinburgh of the seven seas,-37.0676,-12.3116,17.58,70,17,8.35,SH,1707675391
20,kodiak,57.79,-152.4072,-0.27,100,100,3.09,US,1707675391
21,bethel,41.3712,-73.414,8.2,63,0,2.57,US,1707675391
22,ribeira grande,38.5167,-28.7,18.22,88,40,11.18,PT,1707675391
23,inhambane,-23.865,35.3833,25.99,83,40,5.66,MZ,1707675391
24,utrik,11.2278,169.8474,26.06,74,100,10.95,MH,1707675285
25,coahuayana de hidalgo,18.7,-103.6583,29.34,45,29,2.71,MX,1707675391
26,zaozersk,69.4005,32.4476,-18.75,96,100,2.36,RU,1707675391
27,whitehorse,60.7161,-135.0538,-1.57,71,75,5.66,CA,1707675297
28,santa catalina,9.3337,122.8637,25.99,83,19,5.67,PH,1707675392
29,tura,25.5198,90.2201,15.93,48,64,1.05,IN,1707675392
30,waitangi,-43.9535,-176.5597,11.57,79,100,2.24,NZ,1707675392
31,karasu,41.071,30.7854,12.48,65,100,3.52,TR,1707675392
32,ola,59.5833,151.2833,-22.16,87,100,3.57,RU,1707675392
33,isafjordur,66.0755,-23.124,2.02,64,75,11.83,IS,1707675392
34,papatowai,-46.5619,169.4708,11.79,80,100,4.93,NZ,1707675392
35,nichinan,31.6,131.3667,8.82,71,2,4.57,JP,1707675392
36,wynne,35.2245,-90.7868,10.78,76,85,5.63,US,1707675392
37,port-aux-francais,-49.35,70.2167,8.95,98,62,18.35,TF,1707675392
38,petropavlovsk-kamchatsky,53.0452,158.6483,-17.53,81,0,5.0,RU,1707675392
39,richards bay,-28.783,32.0377,22.82,65,84,2.43,ZA,1707675393
40,vernon,50.2581,-119.2691,2.01,92,100,2.06,CA,1707675393
41,solnechnyy,50.7214,136.6319,-15.82,88,51,2.24,RU,1707675393
42,lompoc,34.6391,-120.4579,16.55,66,0,2.57,US,1707675383
43,kathmandu,27.7167,85.3167,11.12,71,20,0.0,NP,1707675393
44,marchtrenk,48.1957,14.1185,7.19,78,75,5.66,AT,1707675393
45,itaituba,-4.2761,-55.9836,32.09,66,75,4.12,BR,1707675389
46,chinde,26.8418,88.0763,9.67,46,0,2.25,NP,1707675393
47,hede,33.7681,120.2517,4.56,79,0,2.68,CN,1707675393
48,margaret river,-33.95,115.0667,17.19,84,0,7.38,AU,1707675294
49,jackson,42.4165,-122.8345,10.77,79,20,0.45,US,1707675393
50,lebu,-37.6167,-73.65,15.2,83,100,9.14,CL,1707675393
51,dubrowna,54.5733,30.6906,-0.67,97,100,4.45,BY,1707675393
